Title,Name,Description
"Commissioning tools at the Australian Synchrotron, or, how to get a bazillion dollars worth of toys to play nicely together—PyCon AU 2024",Mel Makin,"Discover the innovative work happening at the Australian Synchrotron, where high-energy X-rays support research across Australia and neighbouring countries. The scientific computing team uses Python to connect to hardware, orchestrate experiments, and process data.
We'll focus on a Python Dash interface developed to commission new positioners and detectors. This interface automatically generates Gaussian statistics. It includes pages for both one positioner and one detector (1D) or two positioners and one detector (2D), and allows users to click on a 2D Gaussian to take horizontal and vertical slices.
Additionally, we will discuss best programming practices, such as implementing unit tests, maintaining DRY principles, and using linting tools to improve code quality. Good programming practices work beautifully in a scientific environment.  Join us to learn how these techniques can enhance your work with Python."
Cultural and Linguistic Influences on Translation: A Study of Novels—PyCon AU 2024,Anneysha Sarkar,"How do translations preserve the original meaning, style, and sentiment of texts across different languages and cultural contexts? This intriguing question drives our study as we delve into the complexities of translation.
We examine how sentiment analysis results differ for the same text in various languages, aiming to understand the role of language families in these variations. Using natural language processing techniques in Python, we analyse novels from diverse genres, time periods, and cultural backgrounds to uncover generalisable translation patterns.
Our study seeks to answer whether translations of words, ideas, and societal contexts in novels are influenced by the cultural contexts into which they are translated. By highlighting the importance of accurate and culturally relevant translations, we emphasise how they play a crucial role in preserving cultural and societal knowledge, ensuring that the richness of the original text is maintained across languages."
Data Morph: A Cautionary Tale of Summary Statistics—PyCon AU 2024,Stefanie Molin,"Statistics do not come intuitively to humans; they always try to find simple ways to describe complex things. Given a complex dataset, they may feel tempted to use simple summary statistics like the mean, median, or standard deviation to describe it. However, these numbers are not a replacement for visualizing the distribution.
To illustrate this fact, researchers have generated many datasets that are very different visually, but share the same summary statistics. In this talk, I will discuss Data Morph, an open source package that builds on previous research using simulated annealing to perturb an arbitrary input dataset into a variety of shapes, while preserving the mean, standard deviation, and correlation to multiple decimal points. I will showcase how it works, discuss the challenges faced during development, and explore the limitations of this approach."
Dependency management: the cause of—and solution to—all supply chain problems—PyCon AU 2024,Nicky Ringland,"How many dependencies does your software project have? How much confidence do you have in them? We sometimes say in open source there is safety in ‘eyes on the code’, but with supply chain attacks on the rise, who is really watching?
Most software is built with hundreds if not thousands of direct and transitive dependencies, and those dependencies change every day. Our analysis shows that up to 20% of PyPI packages change their dependency graphs multiple times per week. Ensuring that each one of these dependencies is trustworthy is a daunting task.
In this talk, we will share some stats and stories from building deps.dev. We will look at what it means for a project to be healthy, dig into the complexities of dependency resolution algorithms, and recommend tools that can make practical dependency management possible if not easy."
Django on AWS for chump change—PyCon AU 2024,Luke Wiwatowski,Some cheap and definitely not employer approved ways to run Django on AWS infrastructure on a budget
"Django, REST and OpenAPI - a gentle introduction—PyCon AU 2024",Paul Wayper,Django is an all-parts-included framework that is one of the most popular ways of building a website in Python.  But for many websites that's not enough - we also need a REST-based API with an OpenAPI specification so that other programs can read and work with our data.  This talk will cover the Python packages that can provide these facilities and how to integrate them into your existing website.
Embeddings: How Computers Learned to Read—PyCon AU 2024,Liam Bluett,"As large language models take over the world, we’re now working alongside machines that can read, write and converse – coding with CoPilot, chatting with ChatGPT and drawing with DALL-E. But how do machines, which fundamentally operate on binary code, achieve such remarkable feats? The answer lies in embeddings. Embeddings allow us to represent complex data - whether it's text, images, or even abstract concepts - as dense vectors of numbers. In this presentation, we'll demystify embeddings and give you a practical and intuitive understanding of how they work."
Enhancing Programming Ability with Playful Learning and Karel—PyCon AU 2024,Stephen Tierney,"Beginner programmers often struggle to understand and trace program execution, which is worsened by underdeveloped debugging and testing skills. Beginners may also lack confidence or are easily demotivated, which can hinder learning. To assist students in developing these skills and build confidence we created a set of playful programming challenges and competition using Karel the Robot. The Karel system provides a 2D “grid world” where the Karel character can move and interact with its environment. The 2D world is visualised for students so that they can immediately see how their program changes the environment step by step as well as the final program state. This is in contrast to traditional languages where learners must develop and maintain a mental model of the program state. This talk will cover our approach, preliminary results and feedback from students showing an increase in confidence and interest in programming. We will also share how this approach can be applied to other learning contexts."
"Explore, annotate, and analyse multidimensional image data with napari—PyCon AU 2024",Juan Nunez-Iglesias,"napari is an n-dimensional image viewer for Python. If you’ve ever tried plt.imshow(arr) and made Matplotlib unhappy because arr has more than two dimensions, then napari might be for you! napari will gladly display higher-dimensional arrays by providing sliders to explore additional dimensions. But napari can also: overlay derived data, such as points, segmentations, polygons, surfaces, and more; and annotate and edit these data, using standard data structures like NumPy or Zarr arrays, allowing you to seamlessly weave exploration, computation, and annotation in image analysis."
Failsafes and Safety Fails: How to crash a train and other lessons for software engineers—PyCon AU 2024,Jack Skinner,"Software builders and operators have long looked to transport and aviation for lessons in engineering practices and safety. Today, we’ll turn our attention to the railways as we take 20 years of hindsight to look at the ‘Broady runaway’ and what it can teach us. This talk will dive into the ATSB’s subsequent safety investigation, recommendations and parallels in the software world, offering us critical lessons in complex system design and incident management.
For software engineers, architects, managers and executives this is an opportunity for us to reflect and learn from the past so that we can build more resilient and easier to operate platforms in the future.
Our runaway train is a 3 car electrical multiple unit (EMU) that, in 2003, did the full 17km Broadmeadows to Spencer st run in just 16 minutes, famously without a driver on board. The cause of the runaway and resulting collision with a stationary diesel locomotive has been the talk of many rail enthusiasts ever since, especially since there were no fatalities or serious injuries."
Follow the Postgres brick road: a journey of testing against a real database server—PyCon AU 2024,Huon Wilson,"Tests are good. Code that uses a database is good. Testing code that uses a database is great… But it's not so easy to do well. Let's follow our journey through various pitfalls to make testing against a local PostgreSQL instance informative, reliable and fast, so that we have fewer horrible surprises once code gets to production."
From Hypnotised to Heretic: Immunising Society Against Misinformation.—PyCon AU 2024,Linda McIver,"In an age where politicians peddle conspiracy theories, and AI tells us to eat rocks and put glue on our pizzas, critical thinking is more important, and, it seems, less common than ever. How do we immunise society against plausible lies, conspiracies, and technological hype? By raising heretics!
Enter ADSEI: The Australian Data Science Education Institute. What began as a mission to persuade kids to learn programming became a crusade to radically rebuild the education system.
Come & find out why, and how you can help!"
From Keyword Chaos to Clarity: Conquering a Complex Systematic Review with Python—PyCon AU 2024,Edwina Mead,"How can you find relevant needles in a haystack of 25,000 academic abstracts when keyword searching is useless? I explore how I used Python to automate my way out of systematic review hell."
From minutes to seconds: Capillary auto-alignment with python and opencv—PyCon AU 2024,Emily Massahud,"Samples used for diffraction experiments at the Australian Synchrotron, a research facility in Melbourne, are typically presented as finely ground powders confined inside very thin (1mm or less) glass capillaries. These samples are irradiated with X-rays in order to uncover their atomic crystal structures. Amongst our research areas, we study applications in mining, solar cells, perovskites, hydrogen storage, and geology, where understanding material properties at the atomic level can lead to advancements such as enhancing mineral extraction processes, improving solar cell efficiency, developing better hydrogen storage solutions, and analysing the composition of meteorites.
To ensure good data quality, the capillary needs to rotate precisely around its centre of rotation in front of the X-ray beam. Alignment of the centre of rotation is usually a manual operation that relies on the human eye and expertise to discern that the capillary is straight and stationary while it rotates around its axis; this process can be lengthy, error-prone, and difficult to achieve, especially for non-experts.
In this talk, I will demonstrate how we have united Python, OpenCV, and motion control systems to automate the capillary alignment procedure at the Australian Synchrotron, reducing the time to align a sample from several minutes to just 10 seconds."
from seeds import plants: using IoT to grow healthy herbs—PyCon AU 2024,Anthony I. Joseph,"With the current climate crisis and the rise of households growing their own fruits, vegetables and herbs, the efficient use of potable water is crucial now more than ever. However, the majority of plant watering systems are either manual or time based - that is, they water plants on a pre-defined schedule. This talk will describe a simple automated watering system programmed with micropython and various extensions to the core product to simplify existing features and add new capabilities using various internet of things devices and data analytics tools."
How Smart is AI? – Real projects to build real understanding—PyCon AU 2024,Renee Noble,"Chat GPT is all the rage in schools, and everyone is talking about AI, but how do we give students a real understanding of AI’s capabilities and limitations? In this talk I’ll demo how you can get students coding their own projects that explore (free) GPT technologies, integrating their own data sources, and contemplating when AI is the right solution."
How to confirm that the index you added actually improves query performance—PyCon AU 2024,Suzannah Cooper,"Database indexes allow us to speed up queries by providing a method to quickly look up data. However, do we always check that they actually improve performance? In this talk, I explain how and why an automatically added database index did not get used by the queries we expected. Together we will go through SQL produced from Django ORM, index structures and generating database query plans to unravel what was actually going on behind the scenes in our queries."
How we used Python to try and save lives—PyCon AU 2024,Anthony Baxter,Google Crisis Response saved lives and tried to make the world better. And all of it was in Python.
Introducing Potnia: A Python language library for the conversion of ancient texts to Unicode—PyCon AU 2024,Emily Tour,"The last five years have seen a significant increase in the application of machine learning to the study of ancient scripts. Applications are broad, and include recognition via Optical Character Recognition (OCR), textual restoration, palaeographic analysis, topic modelling, representation learning, decipherment and machine translation (Sommerschield 2023). A large number of ancient language corpora have been digitised in recent decades, supporting this research. However, while the necessary Unicode blocks for many of these ancient scripts are available, a number of these data sets are still presented as Romanised transliterations.
In response to this situation, we have created Potnia (https://pypi.org/project/potnia/), an open-source Python language library under the Apache 2.0 license, designed to convert such transliterated texts to Unicode. The session image accompanying this proposal provides an example of Potnia’s conversion process, with a Romanised transliteration of a Linear B text as the input, and the Unicode representation of this same text as the output. This conversion is crucial for downstream machine learning tasks, as tokenisation in the original Unicode script allows for more accurate representation of linguistic structures and mitigates potential biases introduced by transliteration.
Potnia's flexible architecture, built on Python's object-oriented principles, employs string manipulation techniques and regular expressions to handle various complexities inherent in ancient texts, such as uncertain readings, missing elements, and script-specific notations. At present, the library can be used for Linear B texts, with functionality for Linear A, Sumerian and Akkadian soon to follow.
Potnia's design allows for easy addition of new scripts, each with its own set of rules for tokenisation, regularisation, and character mapping. This extensibility positions us well for future inclusion of additional scripts. To ensure reliability and facilitate open-source contributions, we've implemented a comprehensive test suite using pytest, with test cases defined in YAML files for easy expansion. This approach covers key functionalities across different scripts and simplifies the process of adding new test scenarios as the library grows.
References
 Sommerschield, T., Y. Assael, J. Pavlopoulos, V. Stefanak, A. Senior, C. Dyer, J. Bodel, J. Prag, I. Androutsopoulos, and N.D. Freitas. 2023. “Machine Learning for Ancient Languages: A Survey.” Computational Linguistics 49 (3): 1–45. doi:10.1162/coli_a_00481."
"Let's make a working implementation of async functions in Python 2.1, also, why you might want to use a more recent version of Python—PyCon AU 2024",Christopher Neugebauer,"Often I hear people lamenting that Python has too many features and that older versions of Python were better for that exact reason.
To make those people happy, we're going to pick apart the features of Python that enable the async/await syntax, layer by layer, until we happen upon a working implementation of coroutines that will function in Python 2.1.
Somewhere in this talk will be some useful discussions about why recent syntactic developments in Python are a good thing actually, but let's not lie, you're reading this abstract for the stunt content. You'll get what you came for."
Leveraging the Rich Spatiotemporal Features of live cell imaging with Machine Learning and AI—PyCon AU 2024,Pradeep Rajasekhar,"Live cell imaging is a microscopy technique, where scientists can observe dynamics of living cells across time. One such method, known as lattice lightsheet microscopy captures these processes at high spatiotemporal detail. However, current analyses methods do not always capture the complexities of these feature rich datasets. 
In this talk, I will use an example of programmed cell death, where cells are exposed to different drugs. Using python packages, such as scikit-image and tsfresh,  I will demonstrate how we extract morphological and spatiotemporal features of cells. We use these features to train a supervised machine learning (ML) model to predict which drug treatment the cells were exposed to. 
Furthermore, using explainable AI with Shapley values, we identify key feature combinations that distinguish the cellular response to each drug. This approach enables data-driven hypothesis generation, allowing us to infer underlying phenotypes and correlate them to the biological processes."
Looking back to move forwards: how educational literature can inspire new teaching strategies—PyCon AU 2024,Alison Wong,"Learning to program can be exceptionally challenging for students. So how can we make learning to program easier for our students? 
This talk will explore concepts from the literature such as the constructivist theory of education, Bloom’s taxonomy and the worked example effect and discuss how they can be applied to different teaching strategies to help students learn more effectively. Drawing on my own teaching experiences, I will provide some examples of how these concepts can inform teaching practices and guide the development of resources for teaching programming.
The goal of this talk is to encourage other educators to reflect on their own teaching strategies and to consider new approaches that they could implement in their classrooms, whether it be through minor tweaks or a complete redevelopment of their teaching materials."
Lowering the Gangplank: How Writing Songs Relates to Templating—PyCon AU 2024,Chelsea Finnie,"Templating is awesome! It makes automation easier and takes away a lot of the tedious work required to maintain and build new things. Now, what if I told you that the way we utilise templates is somewhat similar to how songs are written? In this talk I will lower the proverbial gangplank from our templating ship as we cross over into the land of song writing and discover how these two concepts are linked."
Making an open source package - lessons learned—PyCon AU 2024,Tennessee Leeuwenburg,"Making an open source package is pretty hard in 2024. Expectations are high, and there’s a lot to take into account. I recently developed an open source package. This talk covers what worked, what didn’t work, what I would do again and what I would do differently.
I developed an open source package called “scores” ( https://github.com/nci/scores , https://scores.readthedocs.io/ ).  This is not a presentation about what “scores” does, but instead covers the lessons I learned. Despite being an experienced software developer and having used lots of open source software, there was still a lot to learn (and a lot to figure out) about open source package maintenance.
Every package is different, but this is what I did and these are the lessons I learned. 

Technical Matters:
How to lay things out on disk
Configuration files
Automated testing
Type hinting
Linting and other static analysis tools
Code layout and design


Documentation:
What documentation to produce
Picking and using a tech stack
Rendering (documentation often renders differently in different locations)


Ecosystem Integration:
How to fit in well with the tools around you
Versioning 
Publishing to PyPI
How and what to automate
How to do releases


Community Considerations:
Code review standards
Clear presentation of information
Understanding your user base and audience"
MicroPython: The best bits!—PyCon AU 2024,Matt Trentini,"MicroPython continues to grow in popularity. But why? What is it about this pint-sized version of Python that makes it so darn compelling? What are the best bits of MicroPython? 
Join me in this talk for a whirlwind tour of some of the most exciting features of this modern embedded programming language."
ML ain’t your only hammer: adding mathematical optimisation to the data scientist’s toolbox—PyCon AU 2024,Dr Jack Simpson,"The purpose of this presentation is to introduce the audience to the field of mathematical optimisation - what it is, how it differs from machine learning, and the types of problems it is best suited to solve.
The first section will provide this context and background - describing the anatomy of an optimisation problem, and what the model building process looks like. We will touch on the characteristics common to optimisation problems seen across multiple industries.
We will then build a simple optimisation model together, demonstrating how the model building process compares to the machine learning approach.
Finally, we will end by exploring some of the most fascinating applications of mathematical optimisation in industry, focussing on the characteristics that the audience can map to challenges that are specific to their own industry."
Notes on Over-Engineering: A Project Post-Mortem—PyCon AU 2024,Sam Bishop,"Join me for a retrospective on a reusable Django app for providing shared database multi-tenancy, complete with automatic tenant-specific queryset filtering, automatic tenant selection middleware, REST framework support, and comprehensive test coverage. This app, despite its sophistication, was never used in production. Let's explore why it was ultimately deemed over-engineered and unnecessary, and what lessons we can learn from this experience."
Performant Python—PyCon AU 2024,Anna Tisch,"An introduction to writing performant Python code - the ""what, why, where, when and many how's"" of performance analysis, testing, tools and techniques."
Quantifying Nebraska—PyCon AU 2024,Adam Harvey,"In 2020, xkcd published Dependency, which posited that ""all modern digital infrastructure"" is ultimately transitively dependent on ""a project some random person in Nebraska has been thanklessly maintaining since 2003"".
How can we find these projects and ensure that their maintainers get the thanks and — more importantly — the resources they need?"
Rethinking Data Catalogs: The Promise and Pitfalls—PyCon AU 2024,Harmeet Sokhi,"The promise of data catalogs, a single source of truth for your organisation's data, often clashes with the reality of under-utilised features, redundancy across various data catalog solutions across teams, adoption challenges and a lack of clear strategy.
This talk will pose some critical questions concerning current approaches of choosing and implementing data catalogs:

Do you actually need a Data catalog?
Are data catalogs becoming just glorified registries without much practical use?
Why do organisations find themselves juggling multiple catalogs?
Is there a synergy between System Catalog & Data Catalog?
How do you identify the right fit and what are the considerations?
How to measure success for a data catalog?

We'll dissect the reasons behind these challenges and share our experience of implementing data catalogs across different organisations."
Running a Marathon: How to get a PB with Python—PyCon AU 2024,Lisa Wilson,"Marathon training daunting, but using data, together with some simple python software, can make it slightly less so. In this talk, I will share my own story about how I used python to attempt to take my marathon training to the next level. The talk will explore how to collect and analyze your running data, improve your training plan and potentially even predict race day performance using machine learning tools. I hope to inspire some fellow runners and leave people thinking about how they can use python in their own personal endeavors."
Serpents and Ducks: wrangling data with Python and DuckDB—PyCon AU 2024,Ned Letcher,"Got a billion rows of data in a weird file format? Wishing you could wrangle a dataframe from a geospatial dataset? A bit lost interacting with a remote API? Let’s wrangle some data with Python and DuckDB. 
DuckDB executes analytical SQL queries without the need for a server. DuckDB features a deep and deceptively simple integration with the Python ecosystem, allowing us to query, wrangle, and output data, alongside all your favourite Python tools.. Its powerful analytical features and rich integrations position DuckDB as an invaluable tool for anyone working with analytical data in Python, helping you solve complex problems with ease and elegance. 
In this practical talk, we’ll introduce DuckDB, a fast and versatile analytical database to keep in your data toolkit. We’ll go through how to use the DuckDB Python client effectively, taking advantage of DuckDB’s efficient data processing features, as well as its integrations with libraries like Pandas and Ibis."
Setting Up Your Python Community for Success: Lessons from the Melbourne Python User Group—PyCon AU 2024,Renaldi Gondosubroto,"Discover best practices in managing a meetup which fosters a vibrant open-source ecosystem and maintains engaged membership and volunteers from experiences within the Melbourne Python User Group. Learn best practices for organizing successful meetups, hackathons, and collaborative projects that drive community engagement and innovation."
Simplifying Python Web App Operations: Automating K8s Ops with Open Source—PyCon AU 2024,David Andersson,"After creating a great web app using Python such as with flask, the next hurdle to production is how to make it available to users and operate it. And not just your app, but also ingress, the database, observability and the list goes on. We will go through your options for simplifying the operations of your web app using open source tooling. This will include using k8s directly, helm charts, IaaC using pulumi and new tooling developed by Canonical using juju. By the end of the talk you will have seen the benefits and drawbacks of each which will help you make an informed decision on which tool best suits your needs!"
Space Django: Migrating and Redesigning a Database while Hunting for Satellites.—PyCon AU 2024,Artur Baruchi,"Being a fast-paced startup and developing a completely new product in the Space Industry is very challenging, and moving fast wasn’t just a requirement but essential. It's the kind of environment that is hard to think too much ahead, and for that reason, our database was created to address the problems we had at hand. 
After a while, new products and features were required, and our database couldn't handle all of them. That’s when we decided to move our data to a newly designed database instance with proper relationships, able to handle more features, higher workloads and scalable. During the planning phase, several approaches were discussed, such as creating a script to copy the data and some off-the-shelf software that we thought could handle that for us. However, the complexity of implementing those approaches wasn’t feasible with our deadlines for releasing the new product. So, we decided to copy the data using Django ORM (our product was already using Django), the idea was to avoid the complexity of creating complex SQL Queries to copy data to new tables while keeping the data consistency and integrity.
In this presentation, we aim to demonstrate how our database was limiting the company’s scalability and how we fixed those problems by migrating to a new database schema whilst maintaining two database instances, one for internal operations and the other for customer-facing functions. Moreover, we show how we did that using object-oriented programming in combination with Django’s ORM to migrate our database without the need to handle complex SQL commands to copy data, keep relationships, and create new ones."
Teaching Digital Technologies in Australian schools with Python and the Kookaberry—PyCon AU 2024,Damien George,"There are around 6,200 primary schools around Australia, and the curriculum has a requirement to teach Digital Technologies, which includes a coding portion.  There are many challenges here, not least which is enabling the approximately 150,000 primary school teachers with the skills and resources to teach programming to young students.  The AustSTEM foundation was set up to assist in this area, and developed a MicroPython based learning platform, which consists of a pocket-sized computing device that integrates with a web-based coding and teaching environment.  The teaching material has many hands-on activities, with connections to nature and science.  In this talk we will discuss this teaching platform, how it can help students transition from block-based programming to textual coding, and show some of the successes we have had so far in Australian classrooms."
The neglected art of a relevant benchmark and why you need one—PyCon AU 2024,Kendra Vant,"Long ago when deep learning was all the rage (circa 2018), you could spend a lot of time and money crunching a lot of data to make a new model and come up with something that was … inconclusively better than what you had had before. Was your model architecture wrong? Could you have picked a better learning rate? Stuck in a local optimum? How to know? 
The best way out of the swamp of confusion was to know what you were shooting for. What was a reasonable limit for how good an answer you could get? So we built benchmarks.  Unfortunately, a lot of teams working with both traditional and generative AI techniques today aren’t using realistic benchmarks to draw a line in the sand and say ‘we’re aiming for this’. 
Let's take a look at why you don't, why you should and how to go about it."
The perfect setup? Not setup.py! Building packages the right way—PyCon AU 2024,Caleb Brown,"Everyone loves package management! Python's packaging systems have continued to evolve over the years. Specifications such as environment markers, custom backends, and static build configurations have been introduced. Additionally new package managers like Poetry and Hatch have emerged.
Yet despite the updates, many projects are still living in the 2010s - using a setup.py file to specify the build configuration for their package. setup.py is notoriously difficult to learn and a common vector for launching attacks during install.
This talk will discuss why it's time to move away from using setup.py and how to do it.
We will see how setup.py is used and abused - from downloading huge datasets (cough AI cough), modifying the system, and most critically how malicious payloads can be included to execute when setup.py is evaluated. Arbitrary code in setup.py makes security analysis harder and creates more work for PyPI administrators.
The talk will detail the new (as of 7 years ago) methods of describing build configurations in pyproject.toml and setup.cfg, giving examples of how to use these methods. The examples will include how to achieve what once required dynamic code to include data like readme contents, version numbers and requirements. The limits of pyproject.toml and setup.cfg will also be covered.
Finally, the talk will outline how moving away from setup.py improves the Python packaging universe, how it makes life easier for ensuring Python security, and what can be done to drive adoption of pyproject.toml."
Three Django Apps in a Trenchcoat: Writing an event management website with not a lot of time—PyCon AU 2024,Matt Cengia,"Come and hear how I wrote 3 Django apps in a trenchcoat to run a ~300+ person scout camp, from making event registration a breeze, to conducting everyone's movements throughout the entire event."
Time and Time Again—PyCon AU 2024,Yaakov,"Time is one of the few forces that remain outside of human control. Attempting to understand it is hard enough, but attempting to make computers understand it is a frequent and common source of errors, especially across different cultures and calendars.
This talk will explore a number of different ways of understanding and expressing the flow of time, as well as common and uncommon edge cases to account for when building software."
Transitioning from VB to Python – Mapping a 6 month journey—PyCon AU 2024,Pravin vaz,"In the past decade, this school has consistently exceeded VCE expectations in Software Development, largely due to well-developed resources, consistency in use of programming language (Visual Basic) and progression of skills through year 7 to year 12. However, a gap analysis in the teaching methodology has highlighted conceptual computational thinking and problem-solving skills as a key gap in the current offering. This was attributed to the curriculum's skills-based focus and the Covid-era teaching practice of flipped learning via video tutorials.  
This has presented an opportunity to overhaul the teaching methodology to focus on equipping students with the skills to apply their learning in different contexts.  Some key aspects of this transformation include a more live coding technique and transitioning to Python as the preferred programming language, due to its versatility and future prospects for students.  
We present this roadmap which leads to a complete overhaul of our teaching programmes from year 7 to year 12, scaffolding Python across Applied Computing, STEM projects, Robotics and Game development over the next 6 months."
Turtles all the way down: Abstractions and when we should use them—PyCon AU 2024,Mark Lakewood,"Abstractions are one of the greatest tools in all of programming. But sometimes we reach for them too often. How do we know when we should use an abstraction, and when we should just use the ones that already exist."
Using Multiple Databases in Django Applications—PyCon AU 2024,Artem Kolesnikov,"Over six years ago, three engineers from Sydney started working on an insurtech platform with global ambitions. They chose Django, even though two of them had no prior experience with the framework. Nevertheless, the project became a success, affirming that choosing Django was a great technical decision.
This is a real-life story about the challenges the team faced while scaling the project and changing the database architecture, all while maintaining uninterrupted services for millions of customers. We will cover some of the key technical decisions the team made, how Django supported us in migrating from a single database to a multi-database architecture, and examine the architectural benefits of using multiple databases in data-intensive applications."
